Disease,Signs and Symptoms,Treatment,Prevention and Control
Kawasaki Disease,"High persistent fever, reddening of whites of eyes, red mucus membranes of mouth, red cracked lips, strawberry tongue, swollen lymph nodes, skin rashes ",Intravenous gamma globulin. Consult doctor if high fever persists >24 hours.,No known measures to prevent this disorder.
Leprosy,"Skin patch with loss of sensation (reddish or copper-colored), enlarged peripheral nerve, positive slit-skin smear ","Multidrug therapy (MDT) using rifampicin, clofazimine, and dapsone .","Treat all cases. Avoid direct contact with untreated patients. Personal hygiene, good nutrition, rest, exercise, clean environment ."
Leptospirosis,"Fever, muscle pain, calf-muscle pain, reddish eyes, headache. Severe: yellowish discoloration, dark urine, light stools, low urine output ",Antibiotics prescribed by physician. Early treatment within 2 days prevents complications.,Avoid swimming in contaminated/flood water. Use boots and gloves. Drain contaminated water. Control rodents.
Mad Cow Disease,"Insomnia, depression, confusion, personality changes, memory problems. Progression: dementia, jerky movements, worsening sight, muscle weakness. Final: paralysis, coma, death ",No effective treatment available.,Do not eat meat/meat products from countries with reported BSE cases.
Malaria,"Chills, high-grade fever, severe headache, vomiting ",Artemether-Lumefantrine + Primaquine; Quinine Sulfate + Doxycycline/Tetracycline/Clindamycin; Chloroquine + Primaquine .,Use insecticidal mosquito nets. Wear long sleeves/pants. Use repellants/screens. Clear hanging branches along streams. Blood exam for symptoms.
Measles,"Cough, runny nose, red eyes/conjunctivitis, fever, blotchy rash (>3 days) ",Nutritional support and oral rehydration . Antibiotics for infections. Vitamin A supplementation.,Immunize infants with measles vaccine at 9 months. Vitamin A supplementation during vaccination.
Meningococcemia,"Fever, cough, sore throat, pinpoint rashes becoming bruise-like patches, severe skin lesions, unstable vital signs, meningitis signs (stiff neck, convulsion) ",Prompt treatment with penicillin. Consult doctor immediately.,Immunization with meningococcal vaccine. Avoid crowds/close contact . Healthy lifestyle. Clean environment. Do not share utensils. Wash hands.
Paragonimiasis,"Dry cough, blood stained or rust-colored sputum, chest/back pain, PTB-like signs ",Praziquantel.,Cook crabs thoroughly. Dispose sputum/waste properly. Control snail population. Treat cases.
Pertussis,"Cough persisting 2 or more weeks, fits of coughing, cough followed by vomiting ",Antibiotics.,Three primary immunization doses of DTaP with booster doses .
Poliomyelitis,"Fever, severe muscle pain, paralysis, difficulty breathing, inability to move affected arm/leg ",No treatment; support treatment based on symptoms.,Vaccination (OPV or IPV). Personal hygiene. Improve public sanitation.
Rabies,"Headache, fever, pain/numbness of bite, delirium, paralysis, muscle spasms, hydrophobia, aerophobia ",Wash wound immediately. Consult physician. Observe dog for 14 days. Post-exposure vaccination if needed.,Immunize pets. Keep pets from roaming. Pre-exposure vaccine for high-risk individuals.
SARS,"High fever (>38C), headache, discomfort, body aches, dry cough, difficulty breathing ",No specific cure; refer to DOH SARS Referral Hospital .,Health screening in airports/seaports. Quarantine contacts/new arrivals.
Schistosomiasis,"Abdominal pain, low-grade fever, loose bowel movement, bloody stool, liver inflammation, bulging abdomen, spleen enlargement ",Praziquantel.,Submit stool for exam. Use sanitary toilets. Avoid infested waters. Fence animals. Clean environment.
Sexually Transmitted Infections (STIs),"Soreness, unusual lumps/sores, itching, pain when urinating, unusual discharge (symptoms vary) ","Creams (yeast/balano-posthitis). Antibiotics (chlamydia, gonorrhea, syphilis, trichomoniasis). Antivirals (herpes, HIV). Lotions/liquid nitrogen (HPV). Oral meds/injections (Hep B).",Abstinence. Monogamous relationship. Use condoms.
Sore Eyes,"Eyelids stuck together, pain upon exposure to sunlight/foreign-body solution, redness, inflammation ",No specific treatment during acute phase. Consult ophthalmologist if profuse discharge or blurring.,Wash hands frequently. Minimize hand-to-eye contact. Use own towels/glasses. Disinfect surfaces. Wash clothes/towels.
Tuberculosis,"Cough for two weeks or more, fever, chest/back pain, weight loss, blood-streaked sputum ","INH (latent TB). INH, rifampin, ethambutol, pyrazinamide, streptomycin (active TB) .",DOTS treatment. Healthy lifestyle. Ventilation. Hygiene. Cover cough.
Typhoid Fever,"Sustained high fever, headache, malaise, anorexia, diarrhea or constipation, abdominal discomfort ","Antibiotics (ciprofloxacin, ceftriaxone).",Avoid untreated water/boil water. Cook and cover food. Avoid street-vended foods. Wash hands. Clean surroundings. Immunization.
Alzheimer's Disease,"Memory loss, difficulty finding words, difficulty understanding, difficulty performing routine tasks, personality and mood changes ","No cure. Supportive medical care, pharmacological treatment for symptoms, emotional support .","Eat right, exercise, stay mentally/socially active, keep stress in check."
Cancer (General),"Fatigue, unexplained weight loss, fever, weakness, pain, skin changes ",Specific for each type of cancer.,"Quit smoking. Limit alcohol. Watch diet. Regular consults. Physical activity. Immunization (Hep B, HPV)."
Bone Cancer,"Extreme bone pain (esp at night), swelling/tenderness, fracture, fatigue, weight loss ","Amputation, limb-sparing surgery, orthopedic treatment, bioengineering, radiotherapy, chemotherapy .",No specific prevention. X-ray for persistent pain. Screening.
Breast Cancer,"Lump/swelling, change in size/shape, one breast lower, puckering/dimpling, nipple retraction, sore in nipple ","Surgery, radiation, hormone therapy, chemotherapy, targeted therapy.","Healthy diet, exercise, maintain weight, mammography, Breast Self-Examination (BSE) ."
Cancer in Children,"Prolonged fever/illness, pallor, bruising, localized pain/limping, masses/swelling, frequent headaches/vomiting, eye changes, weight loss ","Surgery, radiotherapy, chemotherapy.",Regular medical check-up.
Cervical Cancer,"Unusual bleeding, unpleasant vaginal discharge (often asymptomatic) ",Concurrent chemotherapy and complete radiotherapy.,Pap smear. One-partner relationship. Delay first intercourse. Condoms. HPV vaccine.
Colon Cancer,"Change in bowel habits, abdominal discomfort, weight loss, unexplained anemia, blood in stool ",Surgery.,Removal of polyps. Barium enema or colonoscopy.
Leukemia,"Fatigue, weakness, bone pain, weight loss, bruising, red spots, nosebleed, recurring infections, swollen nodes/liver/spleen, sweating ",Chemotherapy.,Avoid risk factors (radiation/chemicals).
Liver Cancer,"Abdominal pain, weight loss, weakness, loss of appetite, abdominal mass/enlarged liver ","Surgery (early stage), palliative care .",Hepatitis B vaccination. Improve sanitation.
Lung Cancer,"Persistent dry cough, chest pain, blood-stained sputum, shortness of breath/wheezing, pneumonia/bronchitis, swelling of neck/face, weight loss, fatigue, difficulty swallowing ","Surgery, chemotherapy, radiation therapy, targeted drug therapy .",Stop smoking. Avoid secondhand smoke. Healthy diet/exercise .
Lymphomas,"Painless swelling of lymph nodes, fatigue, fever, chills, night sweats, weight loss, coughing, itching, pain after alcohol ","Chemotherapy, radiotherapy, bone marrow transplant, stem cell transplant .",Avoid known risk factors.
Ovarian Cancer,"Abdominal mass, mass felt during pelvic examination (often asymptomatic) ","Surgery, chemotherapy, palliative care .",Birth control pills. Annual pelvic examinations.
Prostate Cancer,"Trouble urinating, decreased urine stream, blood in urine/semen, leg swelling, pelvic discomfort, bone pain ","Radiation therapy, hormone therapy, chemotherapy, radical prostatectomy .","Balanced diet, quit smoking, exercise, avoid too much alcohol, regular check-up ."
Rectal Cancer,"Change in bowel habits, transanal bleeding, weight loss, anemia, blood in stool ","Surgery, palliative care.",Rectal examination/proctoscopy. Polyp removal.
Stomach Cancer,"Early: indigestion, dyspepsia, loss of appetite, anemia. Advanced: weight loss, difficulty swallowing, vomiting, abdominal mass ",Surgery.,Upper gastrointestinal series or endoscopy .
Thyroid Cancer,"Hard mass in neck, nodules, rapid goiter enlargement, lymph node enlargement, hoarseness, difficulty swallowing/breathing ","Surgery, radioactive iodine .",Fine needle aspiration biopsy of nodules.
Epilepsy,"Loss of awareness, movement/sensation/mood disturbances, fractures, bruising ",Anti-epileptic medication.,Avoid head trauma and birth anoxia.
Osteoarthritis,"Pain and stiffness in joints, swelling, warmth, creaking ",No specific treatment to halt degeneration.,Reduce weight. Avoid excessive stress on joint cartilage.
Osteoporosis,No signs until bone fractures,"Medications to stop bone loss (alendronate, etc.) and increase bone formation (teriparatide) .",Change unhealthy lifestyle habits (e.g. quit smoking).
Cerebrovascular Disease (Stroke),"Numbness/weakness of face/arm/leg, confusion, difficulty speaking, dizziness, vomiting, difficulty walking, visual difficulty, severe headache ",Immediate emergency room treatment. CT scan. Physical and speech therapy.,"Healthy diet, physical activity, healthy weight, control BP/sugar, quit smoking, moderate alcohol, avoid stress ."
Chronic Obstructive Pulmonary Disease (COPD),"Chronic cough with phlegm, breathlessness, wheezing ",Medicines to dilate air passages (not curable).,Quit smoking. Avoid secondhand smoke/pollutants . Vaccinations.
Coronary Artery Disease,"Cardiac arrest, chest pain/discomfort, shortness of breath, palpitations, irregular heartbeat, dizziness/fainting ","Lowering cholesterol/BP/diabetes control, stents .","Healthy diet, physical activity, lower fat/cholesterol, control BP/diabetes, quit smoking, lower alcohol ."
Heat Stroke,"Warm flushed skin, faintness, dizziness, weakness, headache, high fever, rapid heartbeat, convulsion, unconsciousness ","Move to shade, elevate legs, sip cool water, remove clothing, apply water/ice packs, bring to hospital immediately .","Limit outdoor time, drink water, avoid tea/coffee/alcohol, wear hat/long sleeves, schedule activities when cooler ."
High Blood Pressure,"Often none. Headache, dizziness, blurred vision, nausea, chest pain, shortness of breath ",Anti-hypertensive medications.,"Nutritious low-salt/low-fat diet, exercise, healthy weight, moderate alcohol, quit smoking, reduce stress ."
Obesity and Overweight,"Increased weight, thickness around midsection, fat deposits, large frame, difficulty in daily activities, lethargy, breathlessness ","Limit high-calorie/sugar intake, eat fruits/vegetables, physical activity .",Achieve energy balance and healthy weight.
Diabetes,"Fatigue, weight loss, thirst, urination, eating, poor wound healing, blurry vision, infections, irritability ","Oral hypoglycemic medications, insulin .","Healthy diet, exercise, moderate alcohol ."
Depressive Disorders,"Weight loss/gain, sleep difficulty, fatigue, agitation/slowness, guilt, diminished concentration, suicidal thoughts ","Antidepressant medications, psychological interventions (therapy) .",(Not explicitly stated in text).
Substance Abuse: Alcohol,"Smell of alcohol, flushed skin, bloodshot eyes, appearance deterioration, attention/memory loss, desire to drink, withdrawal ","Community settings, voluntary mutual help organizations, medical/familial interventions .","Parental supervision, alcohol control policies, substitute activities ."
Substance Abuse: Ecstasy,"Nausea, chills, teeth clenching, cramped muscles, blurred vision, floating sensations, irrational behavior, hallucinations, excitement, confusion, sweating, dry mouth, dilated pupils ","Drug treatment, abstinence, detoxification, counseling .","Parental supervision, control policies, avoid situations encouraging use, healthier activities ."
Iodine Deficiency Disorder,Goiter,"Use iodized salt, eat iodine-rich foods, iodine supplements .",(Same as treatment).
Iron Deficiency Anemia,"Weakness, insomnia, tired easily, lack of appetite, lack of concentration, pallor ","Eat iron-rich foods, iron supplements with folic acid, deworming, breastfeeding, increase vitamin C .",(Same as treatment).
Vitamin A Deficiency,"Night blindness, Bitot's spot, dry/hazy cornea, crater-like defect, softened cornea, xerophthalmia ","Daily oral vitamin A supplements, vitamin A-rich foods .","Breastfeeding, vitamin A-rich diet, vitamin A capsules ."
Neonatal Tetanus,"Lockjaw, stiffness of neck, difficulty swallowing, muscle spasm, fever, inability to suck ","Antibiotics, antitoxin drugs, sedatives.","Immunize women with tetanus toxoid, clean delivery/cord care, immunize infants with DPT ."
Mental Retardation,"Delayed sitting/crawling/walking/talking, memory problems, trouble understanding rules/consequences, trouble solving problems ",Enriched and supportive environment.,(Not explicitly stated).
Boils,"Swelling or redness of skin, center liquefies as pus collects ","Do not squeeze, apply warm compress, cover boil, drainage/antibiotics if needed .","Wash hands frequently, take a bath daily ."
Sunburn,"Painful red skin, blistering, swelling, fever, peeling ","Cool shower/compress, dry bandages, ibuprofen, moisturizing cream .","Protective clothing, sunscreen."
Prickly Heat,"Prickly sensation, rash (tiny bumps) ","Cleanse skin, apply corn starch/baking soda, consult if infected.","Bath daily, limit sun, dry sweat, loose clothing ."
Botcha (Double Dead Meat) Consumption,"Diarrhea, food poisoning ",(Not explicitly stated).,"Avoid buying meat with pale color, foul smell, sticky consistency, cold/frozen, lower price ."
Paralytic Shellfish Poisoning (Red Tide),"Numbness, dizziness, pricking sensation/paralysis, weakness, rapid pulse, difficulty talking/swallowing/breathing, headache, abdominal pain, vomiting, diarrhea ","Ventilatory support, fluid therapy, detoxification.","Do not eat shellfish/alamang during red tide, wash/remove gills/intestines of fish/squids/crabs ."
Watusi Poisoning,"Burns, throat pain, garlic odor, nausea/vomiting/diarrhea, shock, perforation ","DO NOT induce vomiting, give egg whites, bring to hospital, bathe if dermal exposure .",Keep out of children's reach.
Piccolo Poisoning,"Burns, vomiting ","Swallowed: DO NOT induce vomiting, egg whites, hospital. Eye: wash 15 mins. Skin: wash water. Inhaled: fresh air .",(Implicit prevention by avoidance).
